Pattern,Difficulty Level,Problem Name
Disjoint Set,Medium,Number of Connected Components in an Undirected Graph
Disjoint Set,Medium,Number of Islands
Disjoint Set,Medium,Redundant Connection
Disjoint Set,Medium,Accounts Merge
Disjoint Set,Medium,Graph Valid Tree
Disjoint Set,Medium,Smallest String With Swaps
Disjoint Set,Medium,Satisfiability of Equality Equations
Disjoint Set,Medium,Minimum Spanning Tree — Kruskal's Algorithm
Disjoint Set,Medium,Detect Cycle in Undirected Graph / Number of Operations to Make Network Connected
Disjoint Set,Hard,Swim in Rising Water
Sliding Window,Easy,Maximum Sum Subarray of Size K
Sliding Window,Medium,Longest Substring Without Repeating Characters
Sliding Window,Hard,Minimum Window Substring
Sliding Window,Medium,Longest Substring with At Most K Distinct Characters
Sliding Window,Medium,Fruits Into Baskets
Sliding Window,Medium,Longest Repeating Character Replacement
Sliding Window,Medium,Permutation in String
Sliding Window,Medium,Find All Anagrams in a String
Sliding Window,Medium,Maximum Consecutive Ones III
Sliding Window,Medium,Subarray Product Less Than K
Sliding Window,Medium,Minimum Size Subarray Sum
Sliding Window,Hard,Sliding Window Maximum
Sliding Window,Hard,Count Distinct Subarrays with At Most K Distinct
Sliding Window,Medium,Longest Subarray with Ones After Deletion
Sliding Window,Hard,Minimum Window Subsequence
Graph,Medium,Number of Islands
Graph,Medium,Clone Graph
Graph,Medium,Course Schedule
Graph,Medium,Course Schedule II
Graph,Medium,Number of Connected Components
Graph,Medium,Pacific Atlantic Water Flow
Graph,Medium,Walls and Gates
Graph,Medium,Shortest Path in Binary Matrix
Graph,Hard,Word Ladder
Graph,Medium,Network Delay Time
Graph,Medium,Cheapest Flights Within K Stops
Graph,Medium,Redundant Connection
Graph,Hard,Alien Dictionary
Graph,Medium,Graph Valid Tree
Graph,Hard,Swim in Rising Water
Dynamic Programming,Easy,Fibonacci / Climbing Stairs
Dynamic Programming,Medium,House Robber
Dynamic Programming,Medium,Longest Increasing Subsequence
Dynamic Programming,Medium,Longest Common Subsequence
Dynamic Programming,Hard,Edit Distance
Dynamic Programming,Medium,0/1 Knapsack
Dynamic Programming,Medium,Coin Change (Min Coins)
Dynamic Programming,Medium,Coin Change II (Count Ways)
Dynamic Programming,Medium,Partition Equal Subset Sum
Dynamic Programming,Medium,Word Break
Dynamic Programming,Hard,Matrix Chain Multiplication
Dynamic Programming,Hard,Burst Balloons
Dynamic Programming,Medium,Unique Paths
Dynamic Programming,Medium,Minimum Path Sum
Dynamic Programming,Medium,Maximal Square
Dynamic Programming,Medium,Best Time to Buy and Sell Stock (with Cooldown)
Dynamic Programming,Medium,Palindromic Substrings / LPS
Dynamic Programming,Medium,Decode Ways
Dynamic Programming,Hard,Distinct Subsequences
Dynamic Programming,Hard,Russian Doll Envelopes / 2D LIS
Trie,Medium,Implement Trie
Trie,Hard,Word Search II
Trie,Medium,Replace Words
Trie,Medium,Design Add and Search Words
Trie,Medium,Longest Word in Dictionary
Trie,Medium,Maximum XOR of Two Numbers
Trie,Hard,Palindrome Pairs
Trie,Hard,Word Break II
Trie,Hard,Autocomplete System
Trie,Medium,Count Distinct Substrings
Queue,Hard,Sliding Window Maximum (Monotonic Deque)
Queue,Medium,First Non-Repeating Character in Stream
Queue,Medium,BFS – Shortest Path in Binary Matrix
Queue,Medium,Design Circular Queue
Queue,Medium,Rotten Oranges – Multi-Source BFS
Queue,Medium,Design Hit Counter (Sliding Window Queue)
Queue,Hard,Largest Rectangle in Histogram (Monotonic Stack + Queue intuition)
Queue,Hard,Sliding Window Minimum with Deque
Queue,Medium,Task Scheduler (Greedy + Queue)
Queue,Medium,Design Snake Game (Deque Simulation)
Linked List,Easy,Reverse a Linked List
Linked List,Easy,Detect Cycle in a Linked List
Linked List,Easy,Find the Middle of a Linked List
Linked List,Easy,Merge Two Sorted Linked Lists
Linked List,Medium,Remove Nth Node from End of List
Linked List,Medium,Linked List Cycle II — Find Cycle Start
Linked List,Medium,Reorder List
Linked List,Hard,Merge K Sorted Linked Lists
Linked List,Easy,Intersection of Two Linked Lists
Linked List,Easy,Palindrome Linked List
Linked List,Medium,Flatten a Multilevel Doubly Linked List
Linked List,Medium,Copy List with Random Pointer
Linked List,Medium,Sort a Linked List (Merge Sort)
Linked List,Medium,LRU Cache
Linked List,Hard,Reverse Nodes in k-Group
Bit Manipulation,Easy,Check if a Number is a Power of Two
Bit Manipulation,Easy,Count Set Bits (Hamming Weight / Popcount)
Bit Manipulation,Easy,Find the Single Number (XOR Trick)
Bit Manipulation,Medium,Find Two Non-Repeating Numbers
Bit Manipulation,Easy,Reverse Bits of an Integer
Bit Manipulation,Easy,Find the Missing Number
Bit Manipulation,Medium,Subsets Generation using Bitmask
Bit Manipulation,Medium,Maximum XOR of Two Numbers in an Array (Trie / Greedy Bit)
Bit Manipulation,Easy,Counting Bits — Number of 1s for 0 to N (DP + Bit)
Bit Manipulation,Medium,Single Number III — Element Appearing Once When Others Appear Three Times
Backtracking,Medium,Subsets (Power Set)
Backtracking,Medium,Subsets II (With Duplicates)
Backtracking,Medium,Permutations
Backtracking,Medium,Permutations II (With Duplicates)
Backtracking,Medium,Combination Sum
Backtracking,Medium,Combination Sum II (Each element used once)
Backtracking,Hard,N-Queens
Backtracking,Medium,Word Search
Backtracking,Medium,Palindrome Partitioning
Backtracking,Hard,Sudoku Solver
Binary Search,Easy,Classic Binary Search
Binary Search,Medium,Find First and Last Position (Search Range)
Binary Search,Medium,Search in Rotated Sorted Array
Binary Search,Medium,Find Minimum in Rotated Sorted Array
